date,ticker,sector,value,quality,momentum,composite
2021-01-31,A,Health Care,-0.15791864356663968,0.060530768132638274,0.6399515206172091,0.18085454839440254
2021-01-31,AA,,,-0.329661486592163,,
2021-01-31,AAL,,,-1.4601310916918528,,
2021-01-31,AAPL,Information Technology,-0.09758799561794129,1.0219097508846051,0.9945903362344977,0.6396373638337205
2021-01-31,ABBV,Health Care,0.011374041816801949,-0.37676448701360143,0.4501697893871013,0.02825978139676727
2021-01-31,ABMD,,,1.4796230811363142,,
2021-01-31,ABT,Health Care,-0.17882909404618685,-0.19760937329566378,0.1508469769621626,-0.07519716345989601
2021-01-31,ACN,Information Technology,0.11991869870024348,0.32396683787739045,-0.2489171013988843,0.06498947839291654
2021-01-31,ADBE,Information Technology,-0.21880934748075778,1.1130227012603413,0.13410886657085863,0.3427740734501474
2021-01-31,ADI,Information Technology,0.04331126006167508,-0.4775388189616093,-0.008079052953119947,-0.1474355372843514
2021-01-31,ADM,Consumer Staples,,,0.05573852205184774,
2021-01-31,ADP,Industrials,-0.16760961697166576,-0.17091911988483313,-0.39325262004613104,-0.2439271189675433
2021-01-31,ADSK,Information Technology,-0.3639351464999662,-0.3637347198284236,0.491561167834198,-0.07870289949806393
2021-01-31,AEE,Utilities,-0.008405029473631642,0.13188620864690756,0.18044630614213275,0.1013091617718029
2021-01-31,AEP,Utilities,,,-0.24428520813666177,
2021-01-31,AES,Utilities,,,0.8552010270519441,
2021-01-31,AFL,Financials,,,-0.4293012395933622,
2021-01-31,AIG,Financials,,,-0.7131704248879884,
2021-01-31,AIZ,Financials,,,0.07477620870680907,
2021-01-31,AJG,Financials,0.13643184696514565,-0.5444314563085811,0.5298927683814003,0.04063105301265494
2021-01-31,AKAM,Information Technology,0.04131272452957746,-0.3505605680774564,-0.7100565373416133,-0.3397681269631641
2021-01-31,ALB,Materials,,,1.6202314601927645,
2021-01-31,ALGN,Health Care,-0.33695939908642003,0.03191496846613226,2.4264891478622257,0.7071482390806461
2021-01-31,ALL,Financials,,,-0.2567561472202887,
2021-01-31,ALLE,Industrials,-0.07180049493629545,0.9072296499934129,-0.7937498977959585,0.01389308575371965
2021-01-31,ALXN,,,0.2608130067178899,,
2021-01-31,AMAT,Information Technology,-0.04336470892664502,0.6068715947032001,0.3707708168688635,0.31142590088180616
2021-01-31,AMCR,Materials,-0.04364425469559341,0.05459743605073687,-0.37381760559625865,-0.12095480808037173
2021-01-31,AMD,Information Technology,-0.18642640588193912,1.4330732284444072,1.6190936079828446,0.9552468101817709
2021-01-31,AME,Industrials,0.021577684950024666,0.0334892438408433,0.17426231498542646,0.07644308125876481
2021-01-31,AMG,,,0.1799846959927064,,
2021-01-31,AMGN,Health Care,0.06436561802313268,0.3512779671665356,-0.34869988547487896,0.022314566571596434
2021-01-31,AMP,Financials,-0.2663004526380407,-0.8849317657626588,0.4733668642106684,-0.2259551180633437
2021-01-31,AMT,Real Estate,,,0.13813275913563006,
2021-01-31,AMZN,Consumer Discretionary,-0.13445429008470697,0.27735237396465307,1.2573883426575807,0.4667621421791756
2021-01-31,ANET,Information Technology,-0.1386878724143245,0.22444302457845244,-0.21319691470823243,-0.0424805875147015
2021-01-31,ANSS,,,0.49509129988501654,,
2021-01-31,AON,Financials,-0.20949885495727383,-0.47591500302548334,-0.20430495953846062,-0.2965729391737392
2021-01-31,AOS,Industrials,0.08601296851847082,0.5330971347929123,0.3130184817458955,0.3107095283524262
2021-01-31,APA,Energy,,,-0.8820585780501011,
